xd165	0.03
xd166	0.05
xd167	0.08
xd168	0.05
xd169	0.02
xd170	0.05
xd171	0.04
xd172	0.03
xd173	0.01
xd174	0
xd175	0.03
xd176	0
xd177	0
xd178	0
xd179	0.02
xd180	0.04
xd181	0
xd182	0.02
xd183	0.04
xd184	0.04
xd185	0
xd186	0.06
xd187	0.02
xd188	0.03
xd189	0.02
xd190	0.03
xd191	0.02
xd192	0.03
xd193	0.04
xd194	0.05
xd195	0.05
xd196	0
xd197	0
xd198	0.04
xd199	0.03
xd200	0.01
xd201	0
xd202	0.05
xd203	0.02
xd204	0.05
xd205	0
xd206	0.04
xd207	0
xd208	0.05
xd209	0.03
xd210	-0.01
xd211	0.03
xd212	0
xd213	0.02
xd214	0.01
xd215	0.05
xd216	0.05
xd217	0.05
xd218	0.05
xd219	0.02
xd220	0.06
xd221	0.06
xd222	0.05
xd223	0.02
xd224	0.05
xd225	0.05
xd226	0.05
xd227	0.01
xd228	0.1
xd229	0.01
xd230	0.02
xd231	0.03
xd232	0.03
xd233	0.03
xd234	0
xd235	0.02
xd236	0
xd237	0.02
xd238	0.04
xd239	0.05
xd240	0
xd241	0
xd242	0.02
xd243	0.05
xd244	0.03
xd245	0.01
xd246	0.04
xd247	0.04
xd248	0.04
xd249	0
xd250	0.02
xd251	0.02
xd252	0.01
xd253	0.02
xd254	0.02
xd255	0
xd256	0.02
xd257	0.04
xd258	0.03
xd259	0.04
xd260	0.04
xd261	0.05
xd262	0.02
xd263	0.04
xd264	0.02
xd265	0.04
xd266	0.02
xd267	0.04
xd268	0.04
xd269	0.05
xd270	0.03
xd271	0.02
xd272	0.04
xd273	0
xd274	0.04
xd275	0.04
xd276	0.04
xd277	0.02
xd278	0.04
xd279	0.03
xd280	0.04
xd281	0.03
xd282	0.04
xd283	0.02
xd284	0.03
xd285	0.05
xd286	0.06
xd287	0.02
xd288	0.02
xd289	0.04
xd290	0.01
xd291	0
xd292	-0.01
xd293	0.04
xd294	0.06
xd295	0.02
xd296	0.04
xd297	0.02
xd298	0.02
xd299	0.03
xd300	0
xd301	0.03
xd302	0.02
xd303	0.03
xd304	0.03
xd305	0.05
xd306	0.02
xd307	0.02
xd308	0.02
xd309	0.03
xd310	0.03
xd311	0.03
xd312	0.05
xd313	0.03
xd314	0.03
xd315	0.03
xd316	0.03
xd317	0.03
xd318	0.03
xd319	0.03
xd320	0.03
